project,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,duplicated_name,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition
87642876.sb,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
87642941.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87645618.sb,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
87649932.sb,0,0,0,0,0,0,0,28,8,0,1,0,16,0,0,30,0
87651958.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87653902.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87659627.sb,0,0,0,0,0,0,0,21,0,59,5,54,50,71,0,456,40
87661020.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87664108.sb,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
87669682.sb,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
87675070.sb,0,1,0,1,0,0,0,53,3,0,3,0,42,1,0,92,1
87675368.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
87675978.sb,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87677939.sb,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
87682226.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87684303.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87690243.sb,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
87693495.sb,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0
87700242.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87700361.sb,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0
87701814.sb,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0
87705638.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87708959.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
87709467.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87710981.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87711649.sb,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,68,0
87715303.sb,0,0,0,0,0,0,0,3,0,0,4,8,12,1,0,30,0
87721865.sb,0,0,0,0,0,0,0,1,2,0,0,8,2,0,0,4,0
87725097.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
